# 1|第一次见面|在语言学校，和新同学打个招呼。|敏智|你
안녕하세요.|你好。|日常见面的礼貌问候；见陌生人或老师也可以这样说。|안녕하세요=你好
커피 한 잔 주세요.|请给我一杯咖啡。|하나 在量词前变成 한；잔 用于数杯。|커피=咖啡;하나=一（固有数词）;잔=杯（量词）
따뜻한 걸로 드릴까요?|给您热的，可以吗？|따뜻한 修饰后面的东西；걸로 是 것으로 的缩略。|따뜻하다=温热
아니요, 차가운 걸로 주세요.|不用，请给我冷的。|차가운 表示温度低；句子没有明确要求加冰，所以不直接译成“加冰的”。|아니요=不是；不;차갑다=凉；冷
사천 원이에요.|四千韩元。|价格用汉字数词：사천 是四千。|사천=四千;원=韩元
카드로 계산할게요.|我刷卡付款。|-(으)로 表示方式，-ㄹ게요 表示自己的打算。|카드=卡;계산하다=结账
# 1|图书馆在哪里|在学校询问地点。|你|敏智
도서관이 어디에 있어요?|图书馆在哪里？|어디에 用于询问位置。|도서관=图书馆;어디=哪里
학생 식당 옆에 있어요.|在学生食堂旁边。|옆에：在旁边。|학생=学生;식당=食堂；餐厅;옆=旁边
여기에서 멀어요?|离这里远吗？|여기에서 标示距离的起点。|여기=这里;멀다=远
아니요, 걸어서 오 분쯤 걸려요.|不远，走路大约五分钟。|걸어서：步行；걸리다：花费时间。|걷다=走路;분=分钟;걸리다=花费（时间）
화장실은 어디예요?|洗手间在哪里？|은 用来把话题换成“洗手间”。|화장실=洗手间
저 건물 일 층에 있어요.|在那栋楼的一层。|楼层用汉字数词；일 층 是一层。|저=那（指示）;건물=建筑物;층=层
# 1|几点见面|约好一起上课的时间。|敏智|你
지금 몇 시예요?|现在几点？|时用固有数词，分钟用汉字数词。|지금=现在;몇=几;시=点（时刻）
아홉 시 반이에요.|九点半。|반 表示一半；这里是半小时。|아홉=九（固有数词）;반=半
수업은 열 시에 시작해요.|课十点开始。|时间后接 에。|수업=课;열=十（固有数词）;시작하다=开始
그럼 같이 갈까요?|那我们一起去吗？|-(으)ㄹ까요 用来提出建议。|그럼=那么;같이=一起;가다=去
좋아요. 교실 앞에서 만나요.|好啊，在教室前面见。|动作发生的场所用 에서。|좋다=好;교실=教室;앞=前面
네, 조금 있다가 봐요.|好的，一会儿见。|조금 있다가 表示过一会儿。|조금=一点；一会儿;보다=见；看
# 2|在餐厅点餐|向店员说明口味和需要。|店员|你
주문하시겠어요?|您要点餐吗？|服务场景中的礼貌表达。|주문하다=点餐
비빔밥 하나 주세요.|请给我一份拌饭。|食物份数在口语中常直接用 하나。|비빔밥=拌饭
매운 음식 잘 드세요?|您能吃辣吗？|잘 드세요 在这里询问是否能接受辣味。|맵다=辣;음식=食物;먹다=吃
잘 못 먹어요. 덜 맵게 해 주세요.|不太能吃，请做得不那么辣。|덜：少一点；잘 못：不太会、不太能。|덜=较少地;못=不能
알겠습니다. 더 필요한 건 없으세요?|好的，还需要别的吗？|알겠습니다：明白了；필요하다：需要。|알다=知道;더=再；更;필요하다=需要
물도 한 잔 주세요.|也请给我一杯水。|도 添加另一个需要的东西。|물=水
# 2|挑一件衣服|在服装店询问尺寸和价格。|店员|你
어떤 옷을 찾으세요?|您想找什么衣服？|어떤 询问种类、样式。|어떤=什么样的;옷=衣服;찾다=寻找
편한 바지를 보고 있어요.|我在看舒适的裤子。|-고 있어요 表示正在进行。|편하다=舒适;바지=裤子
이 바지는 어때요?|这条裤子怎么样？|어때요 用来询问评价。|어떻다=怎么样
좀 커요. 작은 사이즈도 있나요?|有点大，有小一点的尺码吗？|작은 是 작다 修饰名词的形式。|크다=大;작다=小;사이즈=尺码
네, 있어요. 입어 보세요.|有，请试穿一下。|-아/어 보다 表示尝试。|입다=穿
잘 맞네요. 얼마예요?|很合身，多少钱？|-네요 表示刚发现的感受。|맞다=合适;얼마=多少（价格）
# 2|乘坐公交|确认公交的方向和下车地点。|你|乘客
이 버스가 시청에 가요?|这辆公交到市政府吗？|가다 后的目的地用 에。|버스=公交车;시청=市政府
네, 시청 앞에 서요.|到，在市政府前面停。|서다 在这里指车辆停靠。|서다=停；站
몇 정거장 가야 해요?|要坐几站？|-아/어야 하다：必须、需要。|정거장=车站
세 정거장 가면 돼요.|坐三站就到了。|셋 在量词前变为 세。|셋=三（固有数词）
내릴 때 이 버튼을 누르나요?|下车时要按这个按钮吗？|-(으)ㄹ 때：做某事的时候。|내리다=下车;버튼=按钮;누르다=按
네, 미리 눌러 주세요.|对，请提前按。|미리 表示提前。|미리=提前
# 2|约一个时间|协调见面时间并确认约定。|敏智|你
토요일에 시간 있어요?|你星期六有空吗？|시간이 있다 可以表示“有空”。|토요일=星期六;시간=时间
오전에는 바빠요. 오후는 괜찮아요.|上午忙，下午可以。|은/는 可以对比上午和下午。|오전=上午;바쁘다=忙;오후=下午
그럼 두 시에 만날까요?|那两点见好吗？|둘 在量词前变成 두。|둘=二（固有数词）
두 시보다 세 시가 더 좋아요.|比起两点，三点更合适。|보다 标示比较对象。|보다=比（比较助词）
좋아요. 역 앞에서 기다릴게요.|好，我会在车站前等你。|-ㄹ게요 常用于向对方表明自己的安排。|역=车站;기다리다=等待
약속 시간에 늦지 않을게요.|我会准时到。|字面意思是“不会晚于约定时间”。|약속=约定;늦다=迟
# 2|下雨的周末|听懂天气和建议。|敏智|你
밖에 비가 많이 와요.|外面雨下得很大。|비가 오다：下雨。|밖=外面;비=雨;많이=多；大量地
우산을 안 가져왔어요.|我没带伞。|안 放在动词前表示否定。|우산=雨伞;가져오다=带来
제 우산을 같이 써요.|我们共用我的伞吧。|우산을 쓰다：打伞。|쓰다=使用；打（伞）
고마워요. 내일도 비가 올까요?|谢谢，明天也会下雨吗？|-ㄹ까요 在这里询问推测。|고맙다=感谢;내일=明天
일기 예보에서는 맑다고 했어요.|天气预报说会是晴天。|-다고 하다 用于转述。|일기 예보=天气预报;맑다=晴朗
그럼 내일 산책해요.|那我们明天散步吧。|同一礼貌句式也可表示提议。|산책하다=散步
# 2|身体不舒服|向医生说明症状和持续时间。|医生|你
어디가 불편하세요?|您哪里不舒服？|医生礼貌地询问症状。|불편하다=不舒服；不方便
목이 아프고 기침이 나요.|我嗓子疼，还咳嗽。|-고 连接两个症状。|목=嗓子；脖子;아프다=疼;기침=咳嗽
언제부터 그랬어요?|从什么时候开始这样的？|부터 表示起点。|부터=从……起
어제 저녁부터 그랬어요.|从昨天晚上开始的。|这里省略已经说过的症状。|어제=昨天;저녁=晚上
열도 나나요?|也发烧吗？|열이 나다：发烧。|열=发烧；热
네, 체온을 재 보니 조금 높았어요.|是的，量了体温，有点高。|-아/어 보니：做了之后发现。|체온=体温;재다=测量;높다=高
# 3|说说上个周末|用过去时分享一次经历。|敏智|你
지난 주말에 뭐 했어요?|上周末做什么了？|했어요 是 하다 的过去式。|주말=周末;하다=做
친구하고 부산에 다녀왔어요.|我和朋友去了一趟釜山。|다녀오다 表示去了又回来。|친구=朋友;부산=釜山;다녀오다=去一趟后回来
바다는 어땠어요?|大海怎么样？|어땠어요 询问过去的感受。|바다=大海
생각보다 아름다웠어요.|比想象中还美。|아름답다 的 ㅂ 在这里变为 우。|생각=想法；想象;아름답다=美丽
사진도 많이 찍었겠네요.|那一定也拍了很多照片吧。|-겠네요 根据情境作出推测。|사진=照片;찍다=拍摄
네, 다음에 보여 드릴게요.|是的，下次给你看。|보여 드리다 是礼貌地“给您看”。|다음=下次;보여 주다=给……看
# 3|未来的打算|讲述目标和努力的原因。|敏智|你
한국어를 배워서 뭘 하고 싶어요?|你学会韩语后想做什么？|-고 싶다 表示愿望。|싶다=想要
한국 대학원에서 공부하고 싶어요.|我想在韩国读研究生。|대학원 指研究生院。|대학원=研究生院
그러려면 꾸준히 공부해야겠네요.|要那样的话，就得坚持学习了。|그러려면：要做到那样的话。|꾸준히=持续地
매일 네 시간씩 공부하려고 해요.|我打算每天学习四小时。|넷 变 네；씩 表示每次、每份。|매일=每天;넷=四（固有数词）
어려워도 포기하지 마세요.|即使困难，也不要放弃。|-아/어도 表示即使；-지 마세요 表示不要。|어렵다=困难;포기하다=放弃
네, 작은 목표부터 실천할게요.|好的，我会从小目标开始实践。|부터 在这里表示先从某一步开始。|목표=目标;실천하다=实践
# 3|兴趣与习惯|自然地询问兴趣和频率。|敏智|你
쉬는 날에는 보통 뭘 해요?|休息日通常做什么？|는 修饰名词，쉬는 날 是休息的日子。|쉬다=休息;날=日子;보통=通常
소설을 읽거나 음악을 들어요.|读小说或者听音乐。|-거나 连接可选择的活动。|소설=小说;읽다=读;음악=音乐
한국 소설도 읽어 본 적이 있어요?|你读过韩国小说吗？|-아/어 본 적이 있다 表示有过经历。|적=经历；时候
아직 없어요. 쉬운 책부터 읽고 싶어요.|还没有，我想先从简单的书读起。|아직 与否定搭配表示“还没有”。|아직=还；尚;쉽다=容易
짧은 이야기를 먼저 읽어 보세요.|先试着读短篇故事吧。|짧은 是 짧다 的定语形式。|짧다=短;이야기=故事;먼저=首先
좋은 책이 있으면 추천해 주세요.|如果有好书，请推荐给我。|-(으)면 表示条件。|추천하다=推荐
# 3|邀请与婉拒|既清楚又礼貌地表达自己的安排。|敏智|你
오늘 저녁에 같이 영화 볼래요?|今晚要一起看电影吗？|-ㄹ래요 用于询问意愿。|오늘=今天;영화=电影
미안해요. 오늘은 과제가 많아서요.|不好意思，我今天作业比较多。|-아서요 在对话中说明原因。|미안하다=抱歉;과제=作业;많다=多
그럼 다음 주는 어때요?|那下周怎么样？|提出替代时间。|다음 주=下周
금요일까지 끝낼 수 있을 것 같아요.|我应该最晚周五就能完成。|-ㄹ 것 같다 表示推测。|금요일=星期五;끝내다=完成
그럼 토요일로 정해요.|那就定在星期六吧。|-(으)로 标示确定的选择。|정하다=决定
이해해 줘서 고마워요.|谢谢你的理解。|-아/어 줘서 고맙다：感谢对方做某事。|이해하다=理解
# 3|两种学习方法|比较学习方法并说明理由。|敏智|你
혼자 공부하는 게 편해요?|你觉得一个人学习方便吗？|는 게 是 는 것이 的缩略。|혼자=独自
편하기는 하지만 질문할 사람이 없어요.|方便是方便，但是没有可以请教的人。|-기는 하지만 先承认再转折。|질문하다=提问
모임에 참여하면 어떨까요?|参加学习小组怎么样？|-(으)면 어떨까요 委婉提出建议。|모임=聚会；小组;참여하다=参与
좋겠어요. 말할 기회도 늘겠네요.|应该不错，说话的机会也会增加。|늘다 指数量增加。|말하다=说;기회=机会;늘다=增加
틀리는 걸 두려워하지 마세요.|不要害怕犯错。|틀리는 것：出错这件事。|틀리다=出错;두려워하다=害怕
실수하면서 배우는 게 중요하죠.|在犯错中学习才重要嘛。|-면서 表示两个行为并行；-죠 表示认同。|실수하다=犯错;중요하다=重要
# 3|处理一个小问题|向店员说明故障并提出请求。|店员|你
어떤 문제로 오셨어요?|您是因为什么问题来的？|-(으)로 在这里表示原因。|문제=问题
어제 산 이어폰에서 소리가 안 나요.|昨天买的耳机没有声音。|산 是 사다 的过去定语形式。|사다=买;이어폰=耳机;소리=声音
영수증을 가지고 계세요?|您带着收据吗？|가지고 계시다 是 가지고 있다 的敬语。|영수증=收据;가지다=持有
네, 여기 있어요. 교환할 수 있나요?|带了，在这里，可以换货吗？|-(으)ㄹ 수 있다 表示可能性。|교환하다=交换；换货
확인한 뒤에 새 제품으로 바꿔 드릴게요.|确认后，我给您换成新产品。|-ㄴ 뒤에 表示之后。|확인하다=确认;제품=产品;바꾸다=更换
감사합니다. 얼마나 걸릴까요?|谢谢，大概要多久？|얼마나 询问程度或时间长度。|감사하다=感谢;얼마나=多么；多久
# 4|租房的条件|讨论预算、位置和居住条件。|中介|你
어떤 조건의 방을 구하세요?|您想找什么条件的房子？|조건의 修饰房子的条件。|조건=条件;방=房间;구하다=寻找；求得
보증금이 낮고 학교에서 가까웠으면 해요.|我希望押金低一些，而且离学校近。|-았/었으면 하다 表示愿望。|보증금=押金;낮다=低;가깝다=近
대신 월세가 조금 높을 수 있어요.|不过作为交换，月租可能会稍高。|대신 表示替代或交换条件。|대신=作为交换;월세=月租
관리비에는 어떤 항목이 포함돼요?|管理费包括哪些项目？|포함되다 是“被包括”。|관리비=管理费;항목=项目;포함되다=被包括
수도 요금은 포함되지만 전기 요금은 별도예요.|包括水费，但电费另算。|-지만 表示对比。|수도=自来水;요금=费用;별도=另外
계약하기 전에 내용을 꼼꼼히 확인하고 싶어요.|签约前我想仔细确认内容。|-기 전에 表示做某事之前。|계약하다=签约;내용=内容;꼼꼼히=仔细地
# 4|研究生的讨论|和同学讨论课程安排及任务分工。|敏智|你
이번 학기에는 어떤 수업을 들을 예정이에요?|这学期打算选什么课？|수업을 듣다：上课；예정：预定。|이번=这次;학기=学期;예정=计划
연구 방법론을 신청했어요.|我选了研究方法论。|신청하다：申请、报名。|연구=研究;방법론=方法论;신청하다=申请；报名
발표와 보고서 중에 뭐가 더 부담돼요?|口头报告和书面报告，哪个让你压力更大？|课堂语境中 발표 指口头报告，보고서 指书面报告；중에 表示从若干对象中选择。|발표=口头报告（课堂语境）;보고서=报告;부담되다=感到负担
아직은 발표가 더 부담돼요.|目前还是口头报告更让我有压力。|아직은 强调现阶段；발표 在这里指课堂上的口头报告。|아직=目前还
역할을 나누면 준비하기가 수월할 거예요.|分工的话，准备起来会轻松些。|-기가 接形容词，说明做某事的感受。|역할=角色；任务;나누다=分配;수월하다=容易；轻松
그럼 저는 자료를 정리할게요.|那我来整理资料。|主动承担一项任务。|자료=资料;정리하다=整理
# 4|工作中的沟通|确认工作期限并提出调整方案。|同事|你
보고서를 언제까지 제출할 수 있나요?|你最晚什么时候能提交报告？|언제까지 询问截止时间。|제출하다=提交
현재 진행 상황으로는 수요일까지 가능해요.|按目前的进度，周三之前可以。|-(으)로는 表示根据某个情况判断。|현재=当前;진행=进行;상황=情况
회의가 앞당겨져서 화요일에 필요해요.|会议提前了，周二就需要。|-아/어지다 在这里表示发生变化。|회의=会议;앞당겨지다=被提前;화요일=星期二
전체 대신 핵심 내용을 먼저 보내도 될까요?|我可以先发核心内容，暂不发全文吗？|-아/어도 되다 用于征求允许。|전체=整体;핵심=核心;보내다=发送
네, 나머지는 회의 후에 보완해 주세요.|可以，其余部分会后再补充。|나머지：剩余的部分。|나머지=其余;후=之后;보완하다=补充完善
알겠습니다. 우선순위를 조정하겠습니다.|明白，我会调整优先顺序。|-겠습니다 是正式表达意愿。|우선순위=优先顺序;조정하다=调整
# 4|寄一份资料|确认邮寄方式和预计到达时间。|职员|你
어디로 보내실 건가요?|您要寄到哪里？|-(으)로 标示移动方向。|어디=哪里
서울에 있는 연구실로 보내려고 해요.|我想寄到首尔的一间研究室。|-려고 하다 表示打算。|서울=首尔;연구실=研究室
일반 우편과 등기 중 어느 쪽을 원하세요?|平信和挂号信，您想用哪一种？|어느 쪽 用于选择。|일반 우편=平信;등기=挂号（邮寄）;원하다=想要
중요한 서류라서 등기로 보내고 싶어요.|因为是重要文件，我想寄挂号信。|名词后的 -(이)라서 表示原因。|서류=文件
주소와 연락처를 적어 주세요.|请写下地址和联系方式。|적다 在这里是“填写”。|주소=地址;연락처=联系方式;적다=填写
도착 여부는 어디에서 확인할 수 있나요?|在哪里可以确认是否送达？|여부 表示“是否”。|도착=到达;여부=是否
# 4|一条新闻可靠吗|讨论核实信息的方法。|敏智|你
인터넷에서 흥미로운 기사를 봤어요.|我在网上看到一篇有趣的报道。|기사 在这里指新闻报道。|인터넷=互联网;흥미롭다=有趣;기사=新闻报道
출처가 어디인지 확인했어요?|你确认出处了吗？|-인지 将疑问嵌入句子。|출처=出处
제목만 보고 믿을 뻔했어요.|我差点只看标题就信了。|-ㄹ 뻔하다 表示差点发生。|제목=标题;믿다=相信
다른 언론의 보도와 비교해 보는 게 좋아요.|最好和其他媒体的报道比较一下。|建议通过多个报道交叉核实。|언론=新闻媒体;보도=报道;비교하다=比较
사진도 맥락에 따라 의미가 달라질 수 있겠네요.|照片的含义也可能随语境改变呢。|에 따라：根据、随着。|맥락=语境；背景;의미=意义;달라지다=改变
맞아요. 확인되지 않은 정보는 공유하지 않으려고 해요.|是的，我尽量不分享未经证实的信息。|확인되지 않은：尚未得到确认的。|정보=信息;공유하다=分享
# 4|一起做一个决定|讨论社区设施的使用规则。|邻居|你
공용 공간을 어떻게 운영하면 좋을까요?|公共空间怎样运营比较好？|어떻게 询问方式。|공용=共用;공간=空间;운영하다=运营
주민들의 의견을 먼저 모아야 해요.|应该先征集居民的意见。|의견을 모으다：汇集意见。|주민=居民;의견=意见;모으다=汇集
이용 시간을 늘리자는 의견이 많아요.|很多人建议延长使用时间。|-자는 用于转述提议。|이용=使用;늘리다=增加；延长
다만 소음 문제도 고려해야 하지 않을까요?|不过，是不是也得考虑噪声问题？|다만 提出限制或补充考虑。|다만=不过;소음=噪声;고려하다=考虑
그럼 평일과 주말의 기준을 다르게 정해요.|那就给工作日和周末制定不同标准。|다르게：不同地。|평일=工作日;기준=标准;다르다=不同
일단 시범 운영한 뒤에 평가해 봅시다.|先试运行，再评估吧。|-ㅂ시다 是较正式的共同提议。|일단=首先；暂且;시범=试行;평가하다=评价
# 5|环保与日常选择|讨论个人行动和制度的关系。|敏智|你
일회용품을 줄이는 것만으로 환경 문제가 해결될까요?|只减少一次性用品，就能解决环境问题吗？|만으로 表示仅凭某种手段。|일회용품=一次性用品;줄이다=减少;환경=环境
개인의 노력도 필요하지만 제도적 뒷받침이 중요해요.|个人努力也有必要，但制度支持很重要。|뒷받침 指支持或支撑。|개인=个人;노력=努力;뒷받침=支持
기업의 생산 방식도 달라져야 하겠네요.|企业的生产方式也应该改变。|对前一句作出延伸推论。|기업=企业;생산=生产;방식=方式
맞아요. 재사용이 쉬운 구조를 만들어야 해요.|是的，要建立便于重复使用的体系。|쉬운 修饰结构；这里的 구조 指体系设计。|재사용=重复使用;구조=结构；体系;만들다=制造；建立
소비자에게 비용이 전가될 우려는 없을까요?|会不会有成本转嫁给消费者的风险？|우려 表示担忧。|소비자=消费者;비용=费用；成本;전가되다=被转嫁
그 점까지 고려한 균형 잡힌 정책이 필요해요.|需要连这一点也考虑在内的均衡政策。|균형 잡히다：保持平衡。|균형=平衡;정책=政策
# 5|便利与隐私|讨论数据使用的边界。|敏智|你
맞춤형 서비스는 편리한 만큼 정보를 많이 요구하죠.|个性化服务提供便利的同时，也要求大量信息。|만큼 在这里表达与便利相伴的信息要求，并不是在断言严格的“越……越……”因果规律。|맞춤형=定制型;편리하다=便利;요구하다=要求
필요한 범위를 넘어서 수집하는 건 아닌지 걱정돼요.|我担心收集范围是不是超出了必要限度。|-는 건 아닌지 表达对可能情况的担忧。|범위=范围;넘어서다=超出;수집하다=收集
동의 버튼을 눌렀다고 해서 충분히 이해한 건 아니에요.|按了同意按钮，并不意味着已经充分理解。|-다고 해서…것은 아니다：不能因为……就认为……。|동의=同意;충분히=充分地
설명을 더 명확하고 간결하게 제시해야 해요.|应该把说明呈现得更明确、更简洁。|-게 将形容词变为修饰动作的形式。|명확하다=明确;간결하다=简洁;제시하다=提出；呈现
사용자가 동의를 철회할 권리도 보장돼야겠네요.|用户撤回同意的权利也应得到保障。|철회하다：撤回；보장되다：被保障。|사용자=用户;철회하다=撤回;권리=权利
편의성과 자기 결정권을 함께 고려해야겠어요.|看来需要同时考虑便利性和自主决定权。|-아/어야겠어요 表示认为有必要。|편의성=便利性;자기 결정권=自主决定权
# 5|教育机会|区分个人努力和结构条件。|敏智|你
교육 격차를 개인의 노력만으로 설명할 수 있을까요?|教育差距能只用个人努力来解释吗？|以疑问提出讨论问题。|교육=教育;격차=差距;설명하다=解释
가정 환경과 지역의 자원도 영향을 미쳐요.|家庭环境和地区资源也会产生影响。|영향을 미치다：产生影响。|가정=家庭;지역=地区;자원=资源
온라인 수업이 대안이 될 수 있지 않을까요?|在线课程能否成为一种替代方案？|대안 指替代或解决方案。|온라인=在线;대안=替代方案
접근성을 높일 수 있지만 기기와 학습 지원이 필요해요.|它能提高可及性，但也需要设备和学习支持。|접근성：获得或使用某事物的便利程度。|접근성=可及性;기기=设备;지원=支持
같은 기회를 주는 것과 같은 결과를 보장하는 건 다르군요.|提供相同机会和保证相同结果，确实不一样。|-군요 表示新认识或领悟。|결과=结果;보장하다=保障
네, 출발점의 차이를 줄이는 방향으로 접근해야 해요.|对，应从缩小起点差异的方向着手。|방향으로 접근하다：从某个方向处理。|출발점=起点;차이=差异;접근하다=着手处理
# 5|老龄化社会|讨论照护需求和可持续的制度。|敏智|你
고령화가 진행되면 돌봄 수요도 늘어나겠죠?|随着老龄化发展，照护需求也会增加吧？|돌봄 是照料、照护。|고령화=老龄化;돌봄=照护;수요=需求
가족에게만 책임을 맡기기에는 한계가 있어요.|仅让家庭承担责任，存在局限。|-기에는 表示从某种做法来看。|가족=家庭；家人;책임=责任;한계=局限
지역 사회가 함께 지원하는 체계가 필요하겠네요.|需要社区共同支持的体系。|체계 是有组织的系统。|지역 사회=社区;체계=体系
재정 부담과 서비스의 질을 동시에 고려해야 해요.|财政负担和服务质量需要同时考虑。|동시에：同时。|재정=财政;질=质量;동시에=同时
노인을 지원의 대상으로만 보는 시각도 바꿔야 해요.|也应该改变只把老年人视为受助对象的看法。|대상으로 보다：视为对象。|노인=老年人;대상=对象;시각=视角
경험을 나누고 사회에 참여할 기회도 중요하니까요.|因为分享经验、参与社会的机会也很重要。|-니까요 在对话结尾说明理由。|경험=经验;사회=社会
# 5|理解文化差异|避免以单一经历概括整个群体。|敏智|你
문화 차이를 설명할 때 무엇을 조심해야 할까요?|解释文化差异时，应注意什么？|조심하다：小心、注意。|문화=文化;무엇=什么;조심하다=注意
개인의 행동을 집단 전체의 특성으로 일반화하면 안 돼요.|不能把个人行为概括为整个群体的特征。|-면 안 되다 表示不应当。|행동=行为;집단=群体;일반화하다=概括推广
같은 사회 안에서도 세대와 상황에 따라 다르겠네요.|即使在同一社会内部，也会因世代和情境而不同。|안에서도 表示即使在内部。|세대=世代;상황=情境
맞아요. 차이의 배경을 이해하려는 태도가 필요해요.|是的，需要尝试理解差异背景的态度。|-려는 修饰名词，表示试图做某事的。|배경=背景;태도=态度
낯설다고 해서 틀렸다고 판단해서는 안 되겠어요.|不能因为陌生，就断定它是错的。|-아/어서는 안 되다 表示不可如此。|낯설다=陌生;판단하다=判断
서로 질문하고 설명할 때 오해를 줄일 수 있어요.|彼此提问和解释时，就能减少误解。|서로 表示相互。|서로=彼此;오해=误解
# 5|工作与生活|比较制度效果与实施条件。|敏智|你
근무 시간을 줄이면 생산성이 떨어질까요?|缩短工作时间会降低生产效率吗？|以问题引入因果关系讨论。|근무=工作；值勤;생산성=生产效率;떨어지다=下降
반드시 그렇다고 보기는 어려워요.|很难说一定会如此。|-다고 보기 어렵다 是谨慎的判断。|반드시=一定
집중도가 높아져서 같은 성과를 낼 수도 있겠네요.|专注度提高，也可能取得相同成果。|-ㄹ 수도 있다 表示一种可能性。|집중도=专注程度;성과=成果
다만 업무의 성격에 따라 효과가 달라질 거예요.|但效果会因工作性质不同而变化。|성격 在这里指性质。|업무=业务；工作;성격=性质;효과=效果
시행 전에 충분한 논의와 준비가 필요하겠어요.|实施前需要充分讨论和准备。|시행 전에：实施之前。|시행=实施;논의=讨论;준비=准备
시범 사업의 결과를 바탕으로 점진적으로 확대하면 좋겠어요.|最好根据试点项目的结果逐步扩大。|바탕으로：以……为基础。|사업=项目；事业;점진적으로=逐步地;확대하다=扩大
# 6|读懂一个数字|练习对统计结果作出有限度的解释。|研究伙伴|你
이 조사에서 이용률이 십 퍼센트에서 십오 퍼센트로 올랐어요.|这项调查中，使用率从百分之十升到了百分之十五。|数字是练习情境中的假设数据。|조사=调查;이용률=使用率;오르다=上升
그럼 오 퍼센트 오른 건가요?|那就是上升了百分之五吗？|这是对话中的待纠正说法，下一句会区分两种指标。|퍼센트=百分比
차이는 오 퍼센트포인트이고, 상대 증가율은 오십 퍼센트예요.|相差五个百分点，相对增长率则是百分之五十。|相对增长率为 (15−10)÷10=50%。|퍼센트포인트=百分点;상대=相对;증가율=增长率
분모가 무엇인지에 따라 해석이 달라지는군요.|原来解释会因分母不同而变化。|不要把百分比变化与百分点差混为一谈。|분모=分母;해석=解释
표본의 크기와 조사 방법도 함께 제시해야 해요.|还应该同时说明样本规模和调查方法。|论证时需要交代数据产生的条件。|표본=样本;크기=大小；规模;방법=方法
수치만 강조하지 말고 비교 기준부터 확인해야겠어요.|不应只强调数值，应先确认比较基准。|-지 말고 表示“不要……，而要……”。|수치=数值;강조하다=强调
# 6|相关不等于因果|用谨慎措辞解释研究发现。|研究伙伴|你
공부 시간이 긴 학생일수록 점수가 높았어요.|学习时间越长的学生，分数越高。|-(으)ㄹ수록 表示越……越……。|학생=学生;점수=分数
그 결과만으로 인과 관계를 단정할 수 있을까요?|仅凭这个结果，能断定因果关系吗？|讨论证据能够支持的结论范围。|인과 관계=因果关系;단정하다=断定
기존 실력이나 학습 환경이 영향을 주었을 수도 있어요.|原有水平或学习环境也可能产生了影响。|过去时加 -을 수도 있다 表示对过去的可能推测。|기존=原有;실력=实力；水平;학습=学习
그런 변수를 통제하지 않으면 결론이 과장될 수 있겠네요.|不控制这些变量，结论就可能被夸大。|-지 않으면 表示如果不。|변수=变量;통제하다=控制;과장되다=被夸大
따라서 관련성이 관찰되었다는 정도로 표현하는 게 적절해요.|因此，表述为“观察到了关联”更为恰当。|用与证据强度一致的措辞。|관련성=关联性;관찰되다=被观察到;적절하다=恰当
주장의 강도가 근거의 강도를 넘지 않도록 해야겠어요.|应让主张的强度不超过证据的强度。|-지 않도록 하다：确保不……。|주장=主张;강도=强度;근거=依据
# 6|评估一项政策|讨论成本、收益和公平性。|研究伙伴|你
